rank,year365,year366,13aqi,13pm2.5,13img,14aqi,14pm2.5,14img,15aqi,15pm2.5,15img,16aqi,16pm2.5,16img,17aqi,17pm2.5,17img,18aqi,18pm2.5,18img
319,11/15,11/14,20000,272,img/2013 (319).jpg,166,126.3,img/2014 (319).jpg,339,289,img/2015 (319).jpg,80,49,img/2016 (319).jpg,39,13,img/2017 (319).jpg,90,4,img/2018 (319).jpg
320,11/16,11/15,20000,32,img/2013 (320).jpg,365,315.1,img/2014 (320).jpg,56,40,img/2015 (320).jpg,30,15,img/2016 (320).jpg,101,76,img/2017 (320).jpg,13,18,img/2018 (320).jpg
321,11/17,11/16,20000,9,img/2013 (321).jpg,19,12.4,img/2014 (321).jpg,98,73,img/2015 (321).jpg,101,76,img/2016 (321).jpg,69,30,img/2017 (321).jpg,42,52,img/2018 (321).jpg
322,11/18,11/17,20000,12,img/2013 (322).jpg,69,50.3,img/2014 (322).jpg,57,41,img/2015 (322).jpg,148,113,img/2016 (322).jpg,14,5,img/2017 (322).jpg,71,22,img/2018 (322).jpg
323,11/19,11/18,20000,17,img/2013 (323).jpg,359,309,img/2014 (323).jpg,111,84,img/2015 (323).jpg,224,174,img/2016 (323).jpg,111,84,img/2017 (323).jpg,55,82,img/2018 (323).jpg
324,11/20,11/19,20000,62,img/2013 (324).jpg,466,449.7,img/2014 (324).jpg,49,34,img/2015 (324).jpg,251,201,img/2016 (324).jpg,139,106,img/2017 (324).jpg,109,22,img/2018 (324).jpg
325,11/21,11/20,20000,161,img/2013 (325).jpg,437,406.2,img/2014 (325).jpg,33,23,img/2015 (325).jpg,74,54,img/2016 (325).jpg,230,180,img/2017 (325).jpg,32,28,img/2018 (325).jpg
326,11/22,11/21,20000,57,img/2013 (326).jpg,50,27.8,img/2014 (326).jpg,95,71,img/2015 (326).jpg,16,14,img/2016 (326).jpg,29,6,img/2017 (326).jpg,63,79,img/2018 (326).jpg
327,11/23,11/22,20000,163,img/2013 (327).jpg,158,120.3,img/2014 (327).jpg,26,18,img/2015 (327).jpg,23,6,img/2016 (327).jpg,21,7,img/2017 (327).jpg,105,31,img/2018 (327).jpg
328,11/24,11/23,20000,47,img/2013 (328).jpg,102,78,img/2014 (328).jpg,14,5,img/2015 (328).jpg,20,11,img/2016 (328).jpg,19,5,img/2017 (328).jpg,51,79,img/2018 (328).jpg
329,11/25,11/24,20000,17,img/2013 (329).jpg,175,132.7,img/2014 (329).jpg,109,82,img/2015 (329).jpg,37,10,img/2016 (329).jpg,75,50,img/2017 (329).jpg,105,222,img/2018 (329).jpg
330,11/26,11/25,20000,21,img/2013 (330).jpg,307,256.6,img/2014 (330).jpg,17,8,img/2015 (330).jpg,138,105,img/2016 (330).jpg,18,4,img/2017 (330).jpg,272,41,img/2018 (330).jpg
331,11/27,11/26,20000,5,img/2013 (331).jpg,26,17.6,img/2014 (331).jpg,252,202,img/2015 (331).jpg,394,344,img/2016 (331).jpg,108,81,img/2017 (331).jpg,209,50,img/2018 (331).jpg
332,11/28,11/27,20000,10,img/2013 (332).jpg,152,116.1,img/2014 (332).jpg,406,359,img/2015 (332).jpg,261,211,img/2016 (332).jpg,111,84,img/2017 (332).jpg,107,43,img/2018 (332).jpg
333,11/29,11/28,20000,37,img/2013 (333).jpg,350,299.8,img/2014 (333).jpg,286,236,img/2015 (333).jpg,78,57,img/2016 (333).jpg,26,7,img/2017 (333).jpg,88,90,img/2018 (333).jpg
334,11/30,11/29,20000,22,img/2013 (334).jpg,312,262.1,img/2014 (334).jpg,453,430,img/2015 (334).jpg,78,57,img/2016 (334).jpg,29,11,img/2017 (334).jpg,119,91,img/2018 (334).jpg
